Year,Industry,series,value
2023,42,va,127.46761258482418
2019,44RT,gos,100
2019,44RT,taxes,100
2019,44RT,coe,100
2019,44RT,va,100
2020,44RT,gos,122.75675675675676
2020,44RT,taxes,81.97105983574502
2020,44RT,coe,102.65378125479369
2020,44RT,va,104.3440826549781
2021,44RT,gos,144.1891891891892
2021,44RT,taxes,99.21783339851389
2021,44RT,coe,114.72618499769904
2021,44RT,va,120.16280525986225
2022,44RT,gos,144.75675675675674
2022,44RT,taxes,127.02385608134533
2022,44RT,coe,117.87083908574935
2022,44RT,va,127.49686912961805
2023,44RT,gos,170.75675675675674
2023,44RT,taxes,131.3648807195933
2023,44RT,coe,123.4391777880043
2023,44RT,va,138.72886662492175
2019,48TW,gos,100
2019,48TW,taxes,100
2019,48TW,coe,100
2019,48TW,va,100
2020,48TW,gos,93.50393700787401
2020,48TW,taxes,-20.089285714285715
2020,48TW,coe,99.7568093385214
2020,48TW,va,89.95774647887325
2021,48TW,gos,123.0708661417323
2021,48TW,taxes,4.464285714285714
2021,48TW,coe,112.08657587548639
2021,48TW,va,109.21126760563381
2022,48TW,gos,137.99212598425197
2022,48TW,taxes,114.28571428571429
2022,48TW,coe,125.1215953307393
2022,48TW,va,129.05633802816902
2023,48TW,gos,136.5748031496063
2023,48TW,taxes,119.64285714285715
2023,48TW,coe,132.12548638132293
2023,48TW,va,132.91549295774647
2019,51,gos,100
2019,51,taxes,100
2019,51,coe,100
2019,51,va,100
2020,51,gos,103.37360047142016
2020,51,taxes,84.61538461538461
2020,51,coe,106.37181409295353
2020,51,va,103.3870120777175
2021,51,gos,109.70830878020035
2021,51,taxes,89.79591836734693
2021,51,coe,127.0864567716142
2021,51,va,114.68580430596886
2022,51,gos,115.60106069534473
2022,51,taxes,107.06436420722135
2022,51,coe,128.5607196401799
2022,51,va,119.68317871521093
2023,51,gos,128.49145550972304
2023,51,taxes,102.66875981161697
2023,51,coe,135.00749625187404
2023,51,va,129.3453527043585
2019,52,gos,100
2019,52,taxes,100
2019,52,coe,100
2019,52,va,100
2020,52,gos,100.14895057549086
2020,52,taxes,106.76328502415458
