year,ind,series,value,ind_title,ind_2d
2019,315AL,gos,100,Apparel and leather and allied products,FALSE
2020,315AL,gos,205.88235294117646,Apparel and leather and allied products,FALSE
2021,315AL,gos,247.05882352941177,Apparel and leather and allied products,FALSE
2022,315AL,gos,229.41176470588235,Apparel and leather and allied products,FALSE
2023,315AL,gos,241.17647058823528,Apparel and leather and allied products,FALSE
2019,315AL,taxes,100,Apparel and leather and allied products,FALSE
2020,315AL,taxes,-266.6666666666667,Apparel and leather and allied products,FALSE
2021,315AL,taxes,-266.6666666666667,Apparel and leather and allied products,FALSE
2022,315AL,taxes,133.33333333333334,Apparel and leather and allied products,FALSE
2023,315AL,taxes,133.33333333333334,Apparel and leather and allied products,FALSE
2019,321,coe,100,Wood products,FALSE
2020,321,coe,103.2520325203252,Wood products,FALSE
2021,321,coe,114.6341463414634,Wood products,FALSE
2022,321,coe,127.64227642276423,Wood products,FALSE
2023,321,coe,129.2682926829268,Wood products,FALSE
2019,321,gos,100,Wood products,FALSE
2020,321,gos,164.60176991150445,Wood products,FALSE
2021,321,gos,275.2212389380531,Wood products,FALSE
2022,321,gos,280.53097345132744,Wood products,FALSE
2023,321,gos,258.4070796460177,Wood products,FALSE
2019,321,taxes,100,Wood products,FALSE
2020,321,taxes,-122.22222222222223,Wood products,FALSE
2021,321,taxes,-11.11111111111111,Wood products,FALSE
2022,321,taxes,111.11111111111111,Wood products,FALSE
2023,321,taxes,122.22222222222223,Wood products,FALSE
2019,322,coe,100,Paper products,FALSE
2020,322,coe,98.46153846153847,Paper products,FALSE
2021,322,coe,100,Paper products,FALSE
2022,322,coe,106.46153846153847,Paper products,FALSE
2023,322,coe,109.53846153846153,Paper products,FALSE
2019,322,gos,100,Paper products,FALSE
2020,322,gos,113.42756183745583,Paper products,FALSE
2021,322,gos,107.42049469964664,Paper products,FALSE
2022,322,gos,118.02120141342756,Paper products,FALSE
2023,322,gos,129.68197879858658,Paper products,FALSE
2019,322,taxes,100,Paper products,FALSE
2020,322,taxes,50,Paper products,FALSE
2021,322,taxes,85,Paper products,FALSE
2022,322,taxes,114.99999999999999,Paper products,FALSE
2023,322,taxes,120,Paper products,FALSE
2019,323,coe,100,Printing and related support activities,FALSE
2020,323,coe,91.72932330827066,Printing and related support activities,FALSE
2021,323,coe,92.48120300751879,Printing and related support activities,FALSE
2022,323,coe,98.87218045112782,Printing and related support activities,FALSE
2023,323,coe,100.37593984962406,Printing and related support activities,FALSE
2019,323,gos,100,Printing and related support activities,FALSE
2020,323,gos,98.57142857142857,Printing and related support activities,FALSE
2021,323,gos,110.71428571428571,Printing and related support activities,FALSE
2022,323,gos,102.14285714285714,Printing and related support activities,FALSE
2023,323,gos,107.85714285714286,Printing and related support activities,FALSE
2019,323,taxes,100,Printing and related support activities,FALSE
2020,323,taxes,-225,Printing and related support activities,FALSE
2021,323,taxes,-162.5,Printing and related support activities,FALSE
