ind,series,period,mean,ind_title
72,coe,2019-2023,7.741670924672064,Accommodation and food services
72,gos,1997-2019,5.332605062421826,Accommodation and food services
72,gos,2019-2023,16.605756982307916,Accommodation and food services
72,taxes,1997-2019,5.223053110633208,Accommodation and food services
72,taxes,2019-2023,425.06547998498615,Accommodation and food services
72,va,1997-2019,5.3028646680433,Accommodation and food services
72,va,2019-2023,9.577637308750388,Accommodation and food services
81,coe,1997-2019,4.065723557561686,"Other services, except government"
81,coe,2019-2023,5.164628521529091,"Other services, except government"
81,gos,1997-2019,2.0316027909096186,"Other services, except government"
81,gos,2019-2023,6.452760983267436,"Other services, except government"
81,taxes,1997-2019,4.293527031035554,"Other services, except government"
81,taxes,2019-2023,-1707.6525022521546,"Other services, except government"
81,va,1997-2019,3.421470356468436,"Other services, except government"
81,va,2019-2023,5.620510926757804,"Other services, except government"
G,coe,1997-2019,3.933314251399463,Government
G,coe,2019-2023,3.8431022056387487,Government
G,gos,1997-2019,3.598735865645699,Government
G,gos,2019-2023,6.2164208928305875,Government
G,taxes,1997-2019,3.4203163960991096,Government
G,taxes,2019-2023,18.939527714518995,Government
G,va,1997-2019,3.8599299003291017,Government
G,va,2019-2023,4.241500700452838,Government
GDP,coe,1997-2019,4.148613184901395,Gross domestic product
GDP,coe,2019-2023,5.560783528939278,Gross domestic product
GDP,gos,1997-2019,4.4974277923472625,Gross domestic product
GDP,gos,2019-2023,8.026397503608523,Gross domestic product
GDP,taxes,1997-2019,4.334941788589673,Gross domestic product
GDP,taxes,2019-2023,12.688300238711257,Gross domestic product
GDP,va,1997-2019,4.290905599305763,Gross domestic product
GDP,va,2019-2023,6.611321936596667,Gross domestic product
