"","reference_area","ref_area","decade","var","contr_total","contr_unit_labor_cost","contr_unit_profit","contr_unit_tax","inflation_cpi","inflation_def"
"42","Canada","CAN","1990-1999","sd",NA,NA,1.31195335665321,0.413777165674641,1.68298079195389,1.10634451334797
"43","Canada","CAN","2000-2009","mean",NA,NA,1.04248074010635,0.135416015301084,2.11673677322288,2.44834749354746
"44","Canada","CAN","2000-2009","sd",NA,NA,2.21539662882373,0.285599140668097,0.961931545327481,2.33968684480665
"45","Canada","CAN","2010-2019","mean",NA,NA,0.78590288614621,0.191705066046601,1.7420797684417,1.66342155291474
"46","Canada","CAN","2010-2019","sd",NA,NA,1.56880491351254,0.209895325374408,0.61713172778931,1.29035901756533
"47","Canada","CAN","2020-","mean",NA,NA,1.62785286506686,1.97837809665369,4.42308993710888,5.35932930744349
"48","Canada","CAN","2020-","sd",NA,NA,2.44304122325839,2.66246304767167,1.82253202529115,3.16330347288072
"49","Canada","CAN",NA,"mean",NA,NA,2.76457524730443,-2.03057149831819,0.72086897560415,1.02919347893813
"50","Canada","CAN",NA,"sd",NA,NA,1.5118091135048,0.772651614908628,0.79120359462489,1.24111238864956
"51","Czechia","CZE","1990-1999","mean",7.30402322634485,2.37225199252225,4.62740884495401,0.3043623888686,7.5609899462379,7.11947526748901
"52","Czechia","CZE","1990-1999","sd",3.57864564530697,1.67173575401165,3.4330975181218,0.504672571354257,3.67300339574156,3.43558170434199
"53","Czechia","CZE","2000-2009","mean",2.46151351392474,1.16832778569254,1.03407015277256,0.25911557545964,2.78729648216635,2.40912031174598
"54","Czechia","CZE","2000-2009","sd",1.73798385033102,0.763036631781001,1.24682747391588,0.604971194825069,1.90404547410931,1.73229473854048
"55","Czechia","CZE","2010-2019","mean",1.62633013075733,0.983954589529853,0.422948210257629,0.219427330969847,1.69035810107047,1.56790114428009
"56","Czechia","CZE","2010-2019","sd",1.36772777625647,0.996118060285705,1.20016958791174,0.460066287579932,1.036618878926,1.3557641237986
"57","Czechia","CZE","2020-","mean",6.80151744427142,2.23773183246093,3.79882808472185,0.764957527088642,8.80761211820973,6.5648886285095
"58","Czechia","CZE","2020-","sd",2.63322381586179,0.950086241982947,2.42153437088986,1.31958940765333,5.79870152921153,2.59068842708066
"59","Czechia","CZE",NA,"mean",4.79694584508177,3.36444627881192,2.2918814508524,-0.859381884582553,3.16320888468669,4.51760618761848
"60","Czechia","CZE",NA,"sd",0.73104118011929,0.571858481897445,0.831321146029397,0.30250735892926,0.410957170444842,0.628375926828708
"61","Denmark","DNK","1990-1999","mean",1.82016085718224,1.18354966824783,-0.0566780045444457,0.693289193478855,2.01032886478524,1.73786066643656
"62","Denmark","DNK","1990-1999","sd",0.510118859536015,0.66437318907067,1.16190770078098,0.452147407870095,0.420037616296532,0.564911912699727
"63","Denmark","DNK","2000-2009","mean",2.49173891597299,1.59839333193224,0.640687859358139,0.252657724682609,2.10597466963246,2.37638360395072
"64","Denmark","DNK","2000-2009","sd",1.07241860837728,1.30439792274648,1.58952417744976,0.57049178993907,0.743878580436511,1.10325742112784
"65","Denmark","DNK","2010-2019","mean",1.21847631111295,0.317169583179564,0.708648904367872,0.192657823565518,1.22439442003981,1.15965205912051
"66","Denmark","DNK","2010-2019","sd",1.08409978360254,0.554127163913788,1.37852812133702,0.342759911565096,0.897035172034471,1.01830046122588
"67","Denmark","DNK","2020-","mean",2.56261436205983,0.97802523214136,1.24138942848404,0.343199701434433,3.86791166945207,2.16065608359809
"68","Denmark","DNK","2020-","sd",5.82417678290685,1.7213566089108,4.69732570122379,1.36470365406943,3.1717772697825,5.93571773643962
"69","Denmark","DNK",NA,"mean",3.18586335899266,1.73894643239305,2.35267051762488,-0.905753591025265,0.420868169160088,2.81665789727284
"70","Denmark","DNK",NA,"sd",0.470464103444116,1.24896651021692,0.611014617396669,1.1563008314325,0.226217355756892,0.522382225981845
"71","Estonia","EST","1990-1999","mean",11.7770958772671,4.19626429282525,6.41342527226791,1.16740631217394,3.30000806462326,11.5084606156937
"72","Estonia","EST","1990-1999","sd",7.01176366194578,3.51617871611718,2.43463975364244,1.94853677464874,0.561599173450846,7.0579409009422
"73","Estonia","EST","2000-2009","mean",6.09767017095667,3.10522486009378,1.88688294690475,1.10556236395814,4.31866949818135,5.74764316083619
"74","Estonia","EST","2000-2009","sd",3.62077900792759,2.88776370923318,2.19040816797524,1.62377179463363,2.98842645623838,3.74901059347424
"75","Estonia","EST","2010-2019","mean",3.76714248968267,1.44599660310896,1.83300391465662,0.488141971917085,2.33722769037967,3.53161850779368
"76","Estonia","EST","2010-2019","sd",1.71670207571679,1.74658918498007,2.68176929605118,0.816465927775227,1.94069984779873,1.66322240665698
"77","Estonia","EST","2020-","mean",9.21042629366309,4.62031530188918,3.04677404625473,1.54333694551918,10.0516184482992,8.92886861450117
"78","Estonia","EST","2020-","sd",5.4902652431208,3.00576986919134,3.66044716718006,1.2715345357235,7.65324456263398,5.58137997508033
"79","Estonia","EST",NA,"mean",1.05689107643224,2.18640849437269,0.506392605459923,-1.63591002340038,-0.434829462431763,0.468493336067899
"80","Estonia","EST",NA,"sd",0.739889179896295,1.26450297954003,1.53563672862867,0.746510486463278,1.28589352364481,1.10683876545919
"81","Euro area (20 countries)","EA20","1990-1999","mean",1.28540943777383,0.343026426540332,0.472043210488007,0.470339800745496,1.61216772680819,1.26224893700305
"82","Euro area (20 countries)","EA20","1990-1999","sd",1.19040171701612,0.868408493745568,0.565141978684599,0.210233952880775,0.528710133192765,1.19490493304295
"83","Euro area (20 countries)","EA20","2000-2009","mean",2.04381828733186,0.997126268719279,0.893427391160508,0.153264627452074,2.14545247392146,2.02023717526724
"84","Euro area (20 countries)","EA20","2000-2009","sd",0.50189587566326,0.6717738783444,0.697330324044083,0.252394671450933,0.786750363268392,0.516117945336823
"85","Euro area (20 countries)","EA20","2010-2019","mean",1.2032129044935,0.548068161437312,0.404947881390273,0.250196861665912,1.35187395621922,1.19475995694576
"86","Euro area (20 countries)","EA20","2010-2019","sd",0.319056201603189,0.412960954246522,0.305649704577839,0.174012833185737,0.884716866667097,0.318762176738421
"87","Euro area (20 countries)","EA20","2020-","mean",4.34762510267413,1.66886834270697,2.01669207503568,0.662064684931478,5.06136646070271,4.23348233297549
"88","Euro area (20 countries)","EA20","2020-","sd",1.75114073023204,1.44864504800859,1.2566895292059,0.885001585333807,2.94051712961378,1.81071908173859
"89","Euro area (20 countries)","EA20",NA,"mean",2.19537709362116,2.30139516046794,1.14195544551603,-1.2479735123628,0.255566949560884,1.83997668473229
"90","Euro area (20 countries)","EA20",NA,"sd",0.975727644340363,1.19877048510542,0.507591540949181,0.605076682001444,0.607643597950278,0.698484108352309
"91","European Union (27 countries from 01/02/2020)","EU27_2020","1990-1999","mean",1.45611030235572,0.445364029243313,0.489672243215907,0.521074029896502,NA,1.43244289437388
"92","European Union (27 countries from 01/02/2020)","EU27_2020","1990-1999","sd",1.13304529045713,0.809397398389015,0.553207859400363,0.223768372020763,NA,1.13823996738277
"93","European Union (27 countries from 01/02/2020)","EU27_2020","2000-2009","mean",2.12485363047044,1.00744707910925,0.95316297663812,0.164243574723069,2.50675997101124,2.10272201961236
"94","European Union (27 countries from 01/02/2020)","EU27_2020","2000-2009","sd",0.849678736084753,0.580252331536701,0.80147520257165,0.286233915448205,0.889327983584515,0.871906983478618
"95","European Union (27 countries from 01/02/2020)","EU27_2020","2010-2019","mean",1.2713386516332,0.573044852347028,0.439914143844941,0.258379655441236,1.41016670209613,1.26270952294476
"96","European Union (27 countries from 01/02/2020)","EU27_2020","2010-2019","sd",0.401701092454716,0.362268947393492,0.371999856559074,0.196975698103054,0.947250047626077,0.398316229301884
"97","European Union (27 countries from 01/02/2020)","EU27_2020","2020-","mean",4.60676882300351,1.75785118709613,2.121136873842,0.727780762065379,5.6725297531729,4.48983888663296
"98","European Union (27 countries from 01/02/2020)","EU27_2020","2020-","sd",1.69981856963741,1.44350133404314,1.34024036919056,0.881125369655367,3.2456605606374,1.76397063151817
"99","European Union (27 countries from 01/02/2020)","EU27_2020",NA,"mean",2.1829478778159,2.18917522228292,1.22475811590449,-1.23098546037151,0.691205646214005,1.82798333128957
"100","European Union (27 countries from 01/02/2020)","EU27_2020",NA,"sd",0.833120805079261,1.12638862151006,0.435502612713908,0.673875994704508,0.555064446648069,0.482373975973404
"101","Finland","FIN","1990-1999","mean",2.01289781904127,0.182693277176409,1.61264949199673,0.21755504986813,1.74427552159059,1.80734244567976
"102","Finland","FIN","1990-1999","sd",1.38214804764822,1.78624935691059,2.21914711936447,0.479723879598584,1.24675526917171,1.35510186691427
"103","Finland","FIN","2000-2009","mean",1.70485337185547,1.08152132898021,0.510923452926194,0.112408589949062,1.70354046180893,1.61143029533448
"104","Finland","FIN","2000-2009","sd",1.22021756215123,1.29050910158374,1.59654391890651,0.404589217093331,1.35558023841587,1.19218146491944
"105","Finland","FIN","2010-2019","mean",1.65993664366262,0.538740727979006,0.632483126406444,0.48871278927717,1.29447167626996,1.60999634979234
"106","Finland","FIN","2010-2019","sd",1.01533559050544,1.07148006099378,0.765540996860235,0.478156834526043,1.09063330081559,1.00890610944675
"107","Finland","FIN","2020-","mean",3.69813749602875,2.11608106775983,1.13908971021022,0.442966718058697,4.7657917779328,3.65579545572632
"108","Finland","FIN","2020-","sd",1.84150634567903,1.15806846743151,0.977286222782995,0.56113657802554,2.69127168611354,1.85491770934231
"109","Finland","FIN",NA,"mean",1.76103525870863,0.463678562116655,1.83534787978791,-0.537991183195942,0.291473434712508,1.64622793642819
"110","Finland","FIN",NA,"sd",0.879715069019689,0.843008406143708,0.744483737734737,0.499048651935416,0.406196494432653,0.840035783102887
"111","France","FRA","1980-1989","mean",6.67785334061906,3.03410134108712,2.76482020964663,0.878931789885314,6.70724469798352,6.64539740812461
"112","France","FRA","1980-1989","sd",3.59182774890297,2.38575797175347,1.10151561371681,0.554920442148396,4.02923925846761,3.57679241100957
