reference_area,ref_area,series,decade,var,value
Australia,AUS,pc_lab_comp,1950-59,mean,NA
Australia,AUS,pc_lab_comp,1950-59,sd,NA
Australia,AUS,pc_lab_comp,1960-69,mean,8.728152234756733
Australia,AUS,pc_lab_comp,1960-69,sd,3.1301912690280114
Australia,AUS,pc_lab_comp,1970-79,mean,14.69068410232753
Australia,AUS,pc_lab_comp,1970-79,sd,6.5567009173636
Australia,AUS,pc_lab_comp,1980-89,mean,11.13489108520736
Australia,AUS,pc_lab_comp,1980-89,sd,3.937585811263008
Australia,AUS,pc_lab_comp,1990-99,mean,5.252363945585728
Australia,AUS,pc_lab_comp,1990-99,sd,2.6723560995817985
Australia,AUS,pc_lab_comp,2000-09,mean,6.594755223769448
Australia,AUS,pc_lab_comp,2000-09,sd,2.1591916773071995
Australia,AUS,pc_lab_comp,2010-19,mean,4.74549003830346
Australia,AUS,pc_lab_comp,2010-19,sd,2.0711631982120817
Australia,AUS,pc_lab_comp,2020-,mean,6.787756599216971
Australia,AUS,pc_lab_comp,2020-,sd,2.8544760748557163
Australia,AUS,pc_profits,1950-59,mean,NA
Australia,AUS,pc_profits,1950-59,sd,NA
Australia,AUS,pc_profits,1960-69,mean,7.449123686278379
Australia,AUS,pc_profits,1960-69,sd,5.900122404381025
Australia,AUS,pc_profits,1970-79,mean,12.784965933311435
Australia,AUS,pc_profits,1970-79,sd,7.037922411043397
Australia,AUS,pc_profits,1980-89,mean,12.831260091116313
Australia,AUS,pc_profits,1980-89,sd,5.786241584745436
Australia,AUS,pc_profits,1990-99,mean,4.666301208336683
Australia,AUS,pc_profits,1990-99,sd,3.318222763232289
Australia,AUS,pc_profits,2000-09,mean,8.093557513753227
Australia,AUS,pc_profits,2000-09,sd,4.167552634557984
Australia,AUS,pc_profits,2010-19,mean,4.659582927221459
Australia,AUS,pc_profits,2010-19,sd,4.589051984041362
Australia,AUS,pc_profits,2020-,mean,6.9919665280613845
Australia,AUS,pc_profits,2020-,sd,6.594020982654353
Australia,AUS,pc_rgdp,1950-59,mean,NA
Australia,AUS,pc_rgdp,1950-59,sd,NA
Australia,AUS,pc_rgdp,1960-69,mean,5.000554119434168
Australia,AUS,pc_rgdp,1960-69,sd,2.764211559486612
Australia,AUS,pc_rgdp,1970-79,mean,3.3091704522453216
Australia,AUS,pc_rgdp,1970-79,sd,2.2441064181983124
Australia,AUS,pc_rgdp,1980-89,mean,3.4238047344665756
Australia,AUS,pc_rgdp,1980-89,sd,2.611884767956642
Australia,AUS,pc_rgdp,1990-99,mean,3.266829492356952
Australia,AUS,pc_rgdp,1990-99,sd,1.95213545147877
Australia,AUS,pc_rgdp,2000-09,mean,3.157175728273251
Australia,AUS,pc_rgdp,2000-09,sd,1.0413872613585304
Australia,AUS,pc_rgdp,2010-19,mean,2.5969980661489984
Australia,AUS,pc_rgdp,2010-19,sd,0.642244410106243
Australia,AUS,pc_rgdp,2020-,mean,2.2007519061782985
Australia,AUS,pc_rgdp,2020-,sd,3.463798580743082
Australia,AUS,pc_taxes,1950-59,mean,NA
Australia,AUS,pc_taxes,1950-59,sd,NA
Australia,AUS,pc_taxes,1960-69,mean,7.336343585252933
Australia,AUS,pc_taxes,1960-69,sd,6.248996931390129
Australia,AUS,pc_taxes,1970-79,mean,15.850002734560396
Australia,AUS,pc_taxes,1970-79,sd,8.95477775112146
Australia,AUS,pc_taxes,1980-89,mean,13.397379954403712
Australia,AUS,pc_taxes,1980-89,sd,5.39818822979185
Australia,AUS,pc_taxes,1990-99,mean,5.4479989566839855
Australia,AUS,pc_taxes,1990-99,sd,4.123331504759601
Australia,AUS,pc_taxes,2000-09,mean,6.107124585269262
Australia,AUS,pc_taxes,2000-09,sd,4.944617476858342
Australia,AUS,pc_taxes,2010-19,mean,4.857039717034271
Australia,AUS,pc_taxes,2010-19,sd,2.436277714360118
Australia,AUS,pc_taxes,2020-,mean,-114.26663846294775
Australia,AUS,pc_taxes,2020-,sd,331.01962941818226
Australia,AUS,profits,1950-59,mean,1893
Australia,AUS,profits,1950-59,sd,18.384776310850235
Australia,AUS,profits,1960-69,mean,2622.375
Australia,AUS,profits,1960-69,sd,583.0512000871595
Australia,AUS,profits,1970-79,mean,7115.875
Australia,AUS,profits,1970-79,sd,2630.6613693869103
Australia,AUS,profits,1980-89,mean,24408.900000000005
Australia,AUS,profits,1980-89,sd,8667.723090840362
Australia,AUS,profits,1990-99,mean,51007.475
Australia,AUS,profits,1990-99,sd,7543.251016424872
Australia,AUS,profits,2000-09,mean,98926.07499999998
Australia,AUS,profits,2000-09,sd,23233.581041670517
Australia,AUS,profits,2010-19,mean,175483.725
Australia,AUS,profits,2010-19,sd,20179.90859422197
Australia,AUS,profits,2020-,mean,265532.3888888889
Australia,AUS,profits,2020-,sd,24847.600310549315
Australia,AUS,rgdp_index,1950-59,mean,NA
Australia,AUS,rgdp_index,1950-59,sd,NA
Australia,AUS,rgdp_index,1960-69,mean,18.68425913785
Australia,AUS,rgdp_index,1960-69,sd,2.8000119070197096
Australia,AUS,rgdp_index,1970-79,mean,28.763968505625
Australia,AUS,rgdp_index,1970-79,sd,2.3176466953777255
Australia,AUS,rgdp_index,1980-89,mean,38.4026246688
Australia,AUS,rgdp_index,1980-89,sd,3.9746348163616423
Australia,AUS,rgdp_index,1990-99,mean,52.503163148925
Australia,AUS,rgdp_index,1990-99,sd,5.754218011816892
Australia,AUS,rgdp_index,2000-09,mean,74.9028858644
Australia,AUS,rgdp_index,2000-09,sd,7.03528023055139
Australia,AUS,rgdp_index,2010-19,mean,98.9621147116
Australia,AUS,rgdp_index,2010-19,sd,7.436583627085051
Australia,AUS,rgdp_index,2020-,mean,115.80469891755556
Australia,AUS,rgdp_index,2020-,sd,5.400549157227952
Australia,AUS,taxes,1950-59,mean,355.5
Australia,AUS,taxes,1950-59,sd,12.020815280171307
Australia,AUS,taxes,1960-69,mean,494.5249999999999
Australia,AUS,taxes,1960-69,sd,111.75224141617231
Australia,AUS,taxes,1970-79,mean,1668.5749999999996
Australia,AUS,taxes,1970-79,sd,756.5072537656199
Australia,AUS,taxes,1980-89,mean,6504.299999999999
Australia,AUS,taxes,1980-89,sd,2226.594688687707
Australia,AUS,taxes,1990-99,mean,13355.125
Australia,AUS,taxes,1990-99,sd,2413.1208667009805
Australia,AUS,taxes,2000-09,mean,25727.4
Australia,AUS,taxes,2000-09,sd,4128.872372290849
Australia,AUS,taxes,2010-19,mean,41359.725
Australia,AUS,taxes,2010-19,sd,5623.08059098323
Australia,AUS,taxes,2020-,mean,48205.11111111111
Australia,AUS,taxes,2020-,sd,21504.15620809666
Austria,AUT,contr_relative,1990-99,mean,-3.5607354347110376
Austria,AUT,contr_relative,1990-99,sd,12.529351840943155
Austria,AUT,contr_relative,2000-09,mean,0.3324035811601418
Austria,AUT,contr_relative,2000-09,sd,2.07344706209274
Austria,AUT,contr_relative,2010-19,mean,-6.461676193403181
Austria,AUT,contr_relative,2010-19,sd,35.2751735078866
Austria,AUT,contr_relative,2020-,mean,-1.3662866681490937
Austria,AUT,contr_relative,2020-,sd,6.876041077800474
Austria,AUT,contr_total,1990-99,mean,0.7929582875120393
Austria,AUT,contr_total,1990-99,sd,0.7840539401303475
Austria,AUT,contr_total,2000-09,mean,1.8256059970174319
Austria,AUT,contr_total,2000-09,sd,0.8645637128550786
Austria,AUT,contr_total,2010-19,mean,1.6936493167544113
Austria,AUT,contr_total,2010-19,sd,0.7849880114170347
