reference_area,ref_area,time,series,value
Australia,AUS,1964-01-01,ls_to_ps,1.01947261663286
Australia,AUS,1964-04-01,inflation_def,3.438814836685422
Australia,AUS,1964-04-01,inflation_cpi,2.564114598784295
Australia,AUS,1964-04-01,contr_unit_labor_cost,0.5337407596842157
Australia,AUS,1964-04-01,contr_unit_profit,1.813520251404626
Australia,AUS,1964-04-01,contr_unit_tax,-0.20855080945319937
Australia,AUS,1964-04-01,contr_total,2.1387102016356425
Australia,AUS,1964-04-01,contr_relative,0.29431199308131106
Australia,AUS,1964-04-01,labor_share,0.47155062715869844
Australia,AUS,1964-04-01,ls_to_ps,1.0371851259496203
Australia,AUS,1964-07-01,inflation_def,3.155133563227963
Australia,AUS,1964-07-01,inflation_cpi,2.5316298695333472
Australia,AUS,1964-07-01,contr_unit_labor_cost,2.540605240209764
Australia,AUS,1964-07-01,contr_unit_profit,0.01913666592727445
Australia,AUS,1964-07-01,contr_unit_tax,0.3238797574750154
Australia,AUS,1964-07-01,contr_total,2.8836216636120535
Australia,AUS,1964-07-01,contr_relative,132.76112201910666
Australia,AUS,1964-07-01,labor_share,0.4800358102059087
Australia,AUS,1964-07-01,ls_to_ps,1.0550964187327825
Australia,AUS,1964-10-01,inflation_def,3.5950315989927484
Australia,AUS,1964-10-01,inflation_cpi,3.7974652489186855
Australia,AUS,1964-10-01,contr_unit_labor_cost,2.748256059295711
Australia,AUS,1964-10-01,contr_unit_profit,-0.2998450025102954
Australia,AUS,1964-10-01,contr_unit_tax,0.7439526634301056
Australia,AUS,1964-10-01,contr_total,3.1923637202155213
Australia,AUS,1964-10-01,contr_relative,-9.165589008612367
Australia,AUS,1964-10-01,labor_share,0.4869037294015611
Australia,AUS,1964-10-01,ls_to_ps,1.1059889676910954
Australia,AUS,1965-01-01,inflation_def,2.870741308853919
Australia,AUS,1965-01-01,inflation_cpi,2.499997981093882
Australia,AUS,1965-01-01,contr_unit_labor_cost,2.912613805554524
Australia,AUS,1965-01-01,contr_unit_profit,-0.2866017389471104
Australia,AUS,1965-01-01,contr_unit_tax,0.5183819606984676
Australia,AUS,1965-01-01,contr_total,3.1443940273058812
Australia,AUS,1965-01-01,contr_relative,-10.1625824611344
Australia,AUS,1965-01-01,labor_share,0.4867544009571014
Australia,AUS,1965-01-01,ls_to_ps,1.0874379534173348
Australia,AUS,1965-04-01,inflation_def,2.3119181814390544
Australia,AUS,1965-04-01,inflation_cpi,3.7499969716408454
Australia,AUS,1965-04-01,contr_unit_labor_cost,3.0782373451872624
Australia,AUS,1965-04-01,contr_unit_profit,-0.06150210380987962
Australia,AUS,1965-04-01,contr_unit_tax,0.3939242530860032
Australia,AUS,1965-04-01,contr_total,3.4106594944633857
Australia,AUS,1965-04-01,contr_relative,-50.05092760245997
Australia,AUS,1965-04-01,labor_share,0.4898575020955574
Australia,AUS,1965-04-01,ls_to_ps,1.1038911975821684
Australia,AUS,1965-07-01,inflation_def,2.036953522023044
Australia,AUS,1965-07-01,inflation_cpi,3.7037145352088796
Australia,AUS,1965-07-01,contr_unit_labor_cost,3.112084658021803
Australia,AUS,1965-07-01,contr_unit_profit,-1.5715472564146742
Australia,AUS,1965-07-01,contr_unit_tax,0.5870527827918393
Australia,AUS,1965-07-01,contr_total,2.127590184398968
Australia,AUS,1965-07-01,contr_relative,-1.9802679463306174
Australia,AUS,1965-07-01,labor_share,0.49974937343358394
Australia,AUS,1965-07-01,ls_to_ps,1.163360560093349
Australia,AUS,1965-10-01,inflation_def,2.630365794035394
Australia,AUS,1965-10-01,inflation_cpi,3.6585337029299447
Australia,AUS,1965-10-01,contr_unit_labor_cost,2.1788154554046457
Australia,AUS,1965-10-01,contr_unit_profit,-0.5894654423405414
Australia,AUS,1965-10-01,contr_unit_tax,0.4429978917300724
Australia,AUS,1965-10-01,contr_total,2.0323479047941766
Australia,AUS,1965-10-01,contr_relative,-3.6962564705293057
Australia,AUS,1965-10-01,labor_share,0.4952947003467063
Australia,AUS,1965-10-01,ls_to_ps,1.17096018735363
Australia,AUS,1966-01-01,inflation_def,2.8645480486701125
Australia,AUS,1966-01-01,inflation_cpi,4.878044937239934
Australia,AUS,1966-01-01,contr_unit_labor_cost,3.8541681002946424
Australia,AUS,1966-01-01,contr_unit_profit,-1.6089647559396583
Australia,AUS,1966-01-01,contr_unit_tax,0.3436825761312987
Australia,AUS,1966-01-01,contr_total,2.588885920486283
Australia,AUS,1966-01-01,contr_relative,-2.3954335146662387
Australia,AUS,1966-01-01,labor_share,0.5090282337491793
Australia,AUS,1966-01-01,ls_to_ps,1.2165555119654767
Australia,AUS,1966-04-01,inflation_def,3.722307565790617
Australia,AUS,1966-04-01,inflation_cpi,3.6144550179272317
Australia,AUS,1966-04-01,contr_unit_labor_cost,3.222380222648414
Australia,AUS,1966-04-01,contr_unit_profit,-0.20600709427947195
Australia,AUS,1966-04-01,contr_unit_tax,0.5445883999342119
Australia,AUS,1966-04-01,contr_total,3.5609615283031544
Australia,AUS,1966-04-01,contr_relative,-15.642083754052132
Australia,AUS,1966-04-01,labor_share,0.50256
Australia,AUS,1966-04-01,ls_to_ps,1.1803833145434046
Australia,AUS,1966-07-01,inflation_def,4.821614226423043
Australia,AUS,1966-07-01,inflation_cpi,2.3809505497449424
Australia,AUS,1966-07-01,contr_unit_labor_cost,1.6750779470997537
Australia,AUS,1966-07-01,contr_unit_profit,1.4960933566580672
Australia,AUS,1966-07-01,contr_unit_tax,-0.03935258955692777
Australia,AUS,1966-07-01,contr_total,3.131818714200893
Australia,AUS,1966-07-01,contr_relative,1.1196346402082136
Australia,AUS,1966-07-01,labor_share,0.49296205630354956
Australia,AUS,1966-07-01,ls_to_ps,1.1619184998196899
Australia,AUS,1966-10-01,inflation_def,5.7393943656058655
Australia,AUS,1966-10-01,inflation_cpi,2.3529393880969085
Australia,AUS,1966-10-01,contr_unit_labor_cost,2.4055257878288283
Australia,AUS,1966-10-01,contr_unit_profit,3.7247582110371513
Australia,AUS,1966-10-01,contr_unit_tax,-0.24619705388361723
Australia,AUS,1966-10-01,contr_total,5.8840869449823625
Australia,AUS,1966-10-01,contr_relative,0.6458206550698534
Australia,AUS,1966-10-01,labor_share,0.49134328358208956
Australia,AUS,1966-10-01,ls_to_ps,1.1312714776632302
Australia,AUS,1967-01-01,inflation_def,4.46567109368643
Australia,AUS,1967-01-01,inflation_cpi,2.325579648323428
Australia,AUS,1967-01-01,contr_unit_labor_cost,-0.08156316597098454
Australia,AUS,1967-01-01,contr_unit_profit,4.409753219088998
Australia,AUS,1967-01-01,contr_unit_tax,0.22348946462946542
Australia,AUS,1967-01-01,contr_total,4.551679517747479
Australia,AUS,1967-01-01,contr_relative,-0.018496084002595163
Australia,AUS,1967-01-01,labor_share,0.48645142692418564
Australia,AUS,1967-01-01,ls_to_ps,1.1040235525024533
Australia,AUS,1967-04-01,inflation_def,4.091551695757145
Australia,AUS,1967-04-01,inflation_cpi,3.4883819928338555
Australia,AUS,1967-04-01,contr_unit_labor_cost,1.3169886241210456
Australia,AUS,1967-04-01,contr_unit_profit,2.4364099691964642
Australia,AUS,1967-04-01,contr_unit_tax,0.09836677906117021
Australia,AUS,1967-04-01,contr_total,3.8517653723786798
Australia,AUS,1967-04-01,contr_relative,0.5405447526367627
Australia,AUS,1967-04-01,labor_share,0.49563475025046516
Australia,AUS,1967-04-01,ls_to_ps,1.1470685657502484
Australia,AUS,1967-07-01,inflation_def,2.00308299086307
Australia,AUS,1967-07-01,inflation_cpi,4.651159296646878
Australia,AUS,1967-07-01,contr_unit_labor_cost,1.8051440379053856
Australia,AUS,1967-07-01,contr_unit_profit,0.5189122023750081
Australia,AUS,1967-07-01,contr_unit_tax,0.30283360504306023
Australia,AUS,1967-07-01,contr_total,2.6268898453234537
Australia,AUS,1967-07-01,contr_relative,3.4787080158135146
Australia,AUS,1967-07-01,labor_share,0.5007048209754722
Australia,AUS,1967-07-01,ls_to_ps,1.1891529963173753
Australia,AUS,1967-10-01,inflation_def,1.2600831046841732
Australia,AUS,1967-10-01,inflation_cpi,3.448273301426874
Australia,AUS,1967-10-01,contr_unit_labor_cost,1.2593672307203412
Australia,AUS,1967-10-01,contr_unit_profit,0.39290331587001415
Australia,AUS,1967-10-01,contr_unit_tax,0.3311075421020184
Australia,AUS,1967-10-01,contr_total,1.9833780886923738
Australia,AUS,1967-10-01,contr_relative,3.205285320465412
Australia,AUS,1967-10-01,labor_share,0.4975117500691181
Australia,AUS,1967-10-01,ls_to_ps,1.1494730118173107
Australia,AUS,1968-01-01,inflation_def,4.099283196311099
Australia,AUS,1968-01-01,inflation_cpi,3.4090884063145754
Australia,AUS,1968-01-01,contr_unit_labor_cost,2.968588282667167
Australia,AUS,1968-01-01,contr_unit_profit,-0.10713268766858823
Australia,AUS,1968-01-01,contr_unit_tax,0.6811028658429339
Australia,AUS,1968-01-01,contr_total,3.5425584608415126
Australia,AUS,1968-01-01,contr_relative,-27.709454016970117
Australia,AUS,1968-01-01,labor_share,0.49530292716133423
Australia,AUS,1968-01-01,ls_to_ps,1.1731699451789745
Australia,AUS,1968-04-01,inflation_def,1.9132801857721038
Australia,AUS,1968-04-01,inflation_cpi,2.2471770098171806
Australia,AUS,1968-04-01,contr_unit_labor_cost,1.7654283732933516
Australia,AUS,1968-04-01,contr_unit_profit,0.2946019767676689
Australia,AUS,1968-04-01,contr_unit_tax,0.2574630518171779
Australia,AUS,1968-04-01,contr_total,2.317493401878198
Australia,AUS,1968-04-01,contr_relative,5.992588348059918
Australia,AUS,1968-04-01,labor_share,0.5033860045146726
Australia,AUS,1968-04-01,ls_to_ps,1.1791601866251944
Australia,AUS,1968-07-01,inflation_def,3.9307790429088163
Australia,AUS,1968-07-01,inflation_cpi,2.2222206270370304
Australia,AUS,1968-07-01,contr_unit_labor_cost,0.9047401422483614
Australia,AUS,1968-07-01,contr_unit_profit,3.0675554924080237
Australia,AUS,1968-07-01,contr_unit_tax,-0.033142824242794786
Australia,AUS,1968-07-01,contr_total,3.9391528104135904
Australia,AUS,1968-07-01,contr_relative,0.2949384760887056
Australia,AUS,1968-07-01,labor_share,0.49065119277885233
Australia,AUS,1968-07-01,ls_to_ps,1.1310939357907253
Australia,AUS,1968-10-01,inflation_def,4.394053715697299
Australia,AUS,1968-10-01,inflation_cpi,2.2222206270370304
Australia,AUS,1968-10-01,contr_unit_labor_cost,1.6170048946188433
Australia,AUS,1968-10-01,contr_unit_profit,2.093210127558569
Australia,AUS,1968-10-01,contr_unit_tax,0.34608958435400344
Australia,AUS,1968-10-01,contr_total,4.056304606531416
Australia,AUS,1968-10-01,contr_relative,0.7725000339573403
Australia,AUS,1968-10-01,labor_share,0.4922267107357082
Australia,AUS,1968-10-01,ls_to_ps,1.132676056338028
Australia,AUS,1969-01-01,inflation_def,4.024039609469465
Australia,AUS,1969-01-01,inflation_cpi,3.2967127886429415
Australia,AUS,1969-01-01,contr_unit_labor_cost,2.03099325757904
Australia,AUS,1969-01-01,contr_unit_profit,2.2719672553896517
Australia,AUS,1969-01-01,contr_unit_tax,-0.24065270025253735
Australia,AUS,1969-01-01,contr_total,4.0623078127161545
Australia,AUS,1969-01-01,contr_relative,0.8939359723433673
Australia,AUS,1969-01-01,labor_share,0.49565322385897126
Australia,AUS,1969-01-01,ls_to_ps,1.1596045197740112
Australia,AUS,1969-04-01,inflation_def,6.595299564221868
Australia,AUS,1969-04-01,inflation_cpi,3.2967127886429415
Australia,AUS,1969-04-01,contr_unit_labor_cost,2.0695539201254336
Australia,AUS,1969-04-01,contr_unit_profit,2.4097752298018116
Australia,AUS,1969-04-01,contr_unit_tax,0.21054637027527925
Australia,AUS,1969-04-01,contr_total,4.689875520202525
Australia,AUS,1969-04-01,contr_relative,0.8588161644833743
Australia,AUS,1969-04-01,labor_share,0.49210064365125805
Australia,AUS,1969-04-01,ls_to_ps,1.1625656621509537
Australia,AUS,1969-07-01,inflation_def,6.942657189534951
Australia,AUS,1969-07-01,inflation_cpi,3.2608672753425383
Australia,AUS,1969-07-01,contr_unit_labor_cost,3.1797333191820076
Australia,AUS,1969-07-01,contr_unit_profit,3.0369521757268716
Australia,AUS,1969-07-01,contr_unit_tax,0.71242889200999715
Australia,AUS,1969-07-01,contr_total,6.929114386918877
Australia,AUS,1969-07-01,contr_relative,1.0470146170217391
Australia,AUS,1969-07-01,labor_share,0.48865304279101274
Australia,AUS,1969-07-01,ls_to_ps,1.1259105098855358
